1, Istiklol, 50, 35, 20, 15
2, Torpedo, 30, 2, 25, 5
3, Spartak, 60, 12, 30, 20
4, Zenit, 40, 0, 35, 2
5, Sokol, 45, 28, 18, 10
5, Zenit, 15, 8, 7, 5
6, Torpedo, 55, 18, 25, 12
6, Spartak, 25, 5, 10, 7
7, Torpedo, 20, 3, 18, 4
8, Spartak, 35, 20, 12, 8
9, Sokol, 42, 22, 22, 13
9, Torpedo, 20, 3, 18, 4
10, Istiklol, 48, 30, 19, 18
11, Zenit, 38, 15, 30, 9
12, Torpedo, 33, 10, 28, 11
12, Zenit, 43, 18, 29, 12
13, Spartak, 29, 8, 15, 6
14, Sokol, 47, 25, 20, 15
14, Zenit, 43, 18, 29, 12
15, Istiklol, 52, 38, 23, 22
16, Zenit, 43, 18, 29, 12
17, Torpedo, 25, 6, 20, 7
17, Istiklol, 52, 38, 23, 22
17, Sokol, 45, 28, 18, 10
18, Spartak, 40, 24, 18, 15
18, Sokol, 45, 28, 18, 10
19, Sokol, 48, 32, 25, 20
20, Istiklol, 55, 40, 28, 25
21, Zenit, 50, 22, 32, 18
21, Istiklol, 52, 38, 23, 22
21, Spartak, 45, 25, 20, 18
22, Torpedo, 48, 20, 26, 15
23, Spartak, 42, 30, 22, 17
24, Sokol, 37, 18, 16, 12
25, Istiklol, 45, 32, 24, 20
25, Spartak, 45, 25, 20, 18
25, Zenit, 50, 22, 32, 18
26, Zenit, 47, 25, 27, 14
27, Torpedo, 50, 28, 22, 18
28, Spartak, 35, 18, 15, 10
29, Sokol, 42, 20, 19, 14
30, Istiklol, 48, 36, 26, 22
30, Spartak, 45, 25, 20, 18
30, Zenit, 50, 22, 32, 18
31, Zenit, 55, 30, 35, 20
32, Torpedo, 40, 15, 30, 15
32, Istiklol, 52, 38, 23, 22
32, Zenit, 50, 22, 32, 18
33, Spartak, 45, 25, 20, 18
